gene,hr,p,fdr
KLK11,0.851712374000184,0.1688493451094516,0.6253679448498208
KCNMA1,0.8515343271386704,0.17275335911999715,0.628194033163626
COMP,1.1547600766676767,0.17341222273068874,0.6193293668953169
TMEM176B,1.1756825714584225,0.1766084901654501,0.6196789128612284
TMEM176A,1.1841966977076614,0.1800264378168278,0.6207808200580269
FRZB,0.8594456396916925,0.18700445330929355,0.6339134010484527
HOTAIRM1,1.1292981098883617,0.19561142835923787,0.6520380945307929
HOXD8,0.8564685736280568,0.19656801401352772,0.6444852918476319
CHL1,0.8614275274547069,0.20391825351222437,0.6578008177813689
APOE,1.145305108657331,0.20569723053934447,0.653007081077284
RAB25,1.197164628171185,0.21215827090436495,0.6629945965761405
PCP4,0.9035672567664406,0.21256695561372543,0.6540521711191551
CLDN6,1.1219279829040487,0.21763183497219732,0.6594904090066586
VIM,1.1649462544717035,0.22131043588602728,0.6606281668239621
HPGD,0.8662223913694951,0.2218651091851997,0.652544438779999
APOA1,0.8755048353010142,0.22501191228980616,0.652208441419728
TFF3,0.8659905709671537,0.22566087772521418,0.6447453649291833
VAV3,1.1515407815976118,0.22651128011696503,0.6380599439914508
CXCL10,0.8779668016786265,0.2293615468074733,0.637115407798537
AC004540.2,1.1569332221017445,0.2294354203595543,0.6285901927659022
KRT5,1.1349156850769273,0.23322072528112095,0.6303262845435701
MT1H,0.9055765825676015,0.23798202367872356,0.6346187298099295
MMP7,1.131522864775765,0.24204163437062237,0.6369516693963747
MT1E,0.9104715873838345,0.24966716654259916,0.6484861468638939
IFI27,0.8746440735970225,0.2504766513616774,0.642247824004301
DSCR8,1.13856345425846,0.25363303790345876,0.642108956717617
PCSK1N,1.1198183390173972,0.26222061685869,0.6555515421467251
SAA1,1.1311844810758707,0.2629597678282419,0.6492833773536837
LY6K,1.1059897929185103,0.2775902979663726,0.6770495072350551
HAGLR,0.8860447876884711,0.2776280007983981,0.6689831344539713
MXRA8,1.1167881974220273,0.27859146875208635,0.6633130208383008
MT1M,0.9067943418754291,0.28552409565685766,0.6718214015455474
